city,brand,model,type,cc,color,km,year,price
Caceres,BMW,R nineT,Naked,1170,,11750,2014,12950
Caceres,KTM,1290 Super Adventure,Trail,1290,,94,2016,16999
Lleida,SUZUKI,Bandit 650 S,Turismo,656,NEGRO,34000,2006,2700
Salamanca,XMOTOS,XMOTION 125,Scooter 125cc,125,Negro,8400,2009,350
Murcia,BMW,R 1150 GS,Trail,1130,,61000,2006,6000
Murcia,HONDA,CB 600F C-ABS HORNET,Naked,599,,9000,2010,4499
Barcelona,HONDA,SCOOPY 100,Scooter 125cc,101,Azul,31000,2001,850
Barcelona,GILERA,Nexus 125,Scooter 125cc,124,BLANCO,20000,2012,2400
Barcelona,MONTESA,Impala 175,Turismo,175,amarillo,130,1970,3000
Leon,MONKEY BIKE,Monkey Bike 250,Custom,250,azul,6000,2011,1200
Caceres,DAELIM,Daystar 125 FI,Custom,124,negro/crema,9200,2008,1500
Malaga,VESPA,PK 125 Primavera,Scooter 125cc,125,verde,20000,1970,3800
Pontevedra,YAMAHA,XT 600 E,Trail,595,azul,44000,2000,2500
Cantabria,BMW,F 800 R,Naked,800,AZUL BLANCA,2800,2016,8500
Valencia,HONDA,Forza 125,Scooter 125cc,125,blanca,4077,2015,3849
Murcia,SUZUKI,Intruder 250 LC,Custom,248,NEGRO,11000,2008,2900
Barcelona,BMW,R 1200 R,Naked,1170,blanca,16000,2011,7700
Barcelona,KYMCO,Super Dink 300i,Scooters +125cc,300,Gris,16993,2014,2890
Barcelona,YAMAHA,XV 1900 A Midnight Star,Custom,1854,NEGRO,35000,2010,8790
Barcelona,SUZUKI,Gladius 650 ABS,Naked,645,NEGRO,4500,2015,4999
Guipuzcoa,YAMAHA,X MAX 125,Scooter 125cc,125,,13000,2014,3300
Valencia,KAWASAKI,J 300 SE,Scooters +125cc,300,SE,1,2015,4925
Girona,PIAGGIO,MP3 250 RL,Scooters +125cc,244,AZUL MARINO,39703,2007,2800
Girona,PIAGGIO,MP3 LT Hybrid 300,Scooters +125cc,278,,7000,2010,4999
Valencia,HONDA,CB 600F HORNET,Naked,599,negro,17233,2007,3995
Malaga,HONDA,CBR 125R,Sport,125,NEGRA,21667,2006,1450
Barcelona,YAMAHA,Majesty 400,Scooters +125cc,395,azul,110000,2006,1495
Malaga,BMW,F 800 R,Naked,800,amarilla y negra,10777,2010,5950
Girona,SUZUKI,RMX 250,Enduro,250,AMARILLO,33,2011,3400
Girona,YAMAHA,MT-07,Naked,689,NEGRA,20870,2015,5600
La Rioja,YAMAHA,XJ 600 Diversion,Turismo,600,verde,64000,1996,1
Madrid,BMW,R 1200 GS,Trail,1170,negro y gris,78852,2006,7000
Asturias,YAMAHA,Tricity 125,Scooter 125cc,125,BLANCO,11,2016,3200
Malaga,BMW,R 1200 R,Naked,1170,NEGRA,124495,2007,5300
Tarragona,YAMAHA,X MAX 250 ABS,Scooters +125cc,250,blanca,14000,2012,3200
Madrid,SUZUKI,RMX 50,Con marchas,49,,30000,2004,500
Barcelona,BMW,F 700 GS,Trail,798,PLATA GLACIAL METALIZADO,37383,2013,7000
Malaga,YAMAHA,YBR 250,Naked,249,GRIS PLATA,30234,2010,2250
Malaga,HONDA,CB 600 F,Naked,599,NEGRA,49687,2004,2600
Alicante,BMW,R 1200 RT 110cv,Turismo,1170,,67955,2005,8800
Barcelona,KYMCO,Xciting 400i,Scooters +125cc,399,BLANCO,9000,2013,4400
Huesca,HARLEY DAVIDSON,Softail Fat Boy,Custom,1450,,51473,2004,13000
Barcelona,HONDA,PCX 125,Scooter 125cc,125,"negro, blanco, rojo, marrón, azul",,2017,2849
Malaga,SUZUKI,Gladius 650,Naked,645,BLANCO/AZUL,28700,2013,4749
Guipuzcoa,APRILIA,RSV 1000 R,Sport,997,GRIS/NEGRO,53000,2008,7995
Valencia,ROYAL ENFIELD,Bullet Classic,Turismo,499,varios,1,2016,4299
Navarra,HONDA,VFR 800 FI,Sport,781,rojo,56300,2002,3400
Madrid,KYMCO,Quannon 125,Sport,124,rojo,23419,2007,950
Toledo,BMW,F 650 GS,Trail,798,AZUL,31000,2010,2000
Zaragoza,TRIUMPH,BONNEVILLE Black,Naked,865,Negro,13000,2008,6500
Barcelona,KYMCO,Super Dink 125i ABS,Scooter 125cc,125,Blanca,11600,2013,2200
Zaragoza,HONDA,CBR 125R,Sport,124,Azul,26953,2007,1450
Sevilla,HYOSUNG,GV 125 AQUILA,Custom,124,Gris,4808,2007,1000
Zaragoza,SUZUKI,Inazuma 250,Naked,248,Negro,6000,2016,2500
La Rioja,DAELIM,Roadwin 125,Naked,125,,10000,2007,999
Tarragona,SUZUKI,Intruder C800,Custom,805,negro,12000,2013,5800
Sevilla,HONDA,Innova 125,Scooter 125cc,125,Azul,41500,2005,900
Valladolid,YAMAHA,X MAX 400,Scooters +125cc,395,blanca,9400,2013,4900
Alicante,HARLEY DAVIDSON,Sportster 883 Roadster,Custom,883,negra,7800,2015,9500
Valencia,KTM,1290 Super Duke GT,Naked,1301,orange,1200,2017,14900
Tarragona,BMW,F 650 GS Dakar,Trail,652,,14000,2001,3500
Valencia,KYMCO,Xciting 500 R ABS,Scooters +125cc,498,Negro,26800,2011,2900
Navarra,HONDA,VARADERO XL1000V,Trail,996,AZUL,62000,2000,3300
Madrid,HONDA,VFR 800 FI,Sport,781,GRIS,68200,2004,4100
Malaga,HONDA,SCOOPY SH125i ABS Top Box,Scooter 125cc,125,GRIS,4636,2015,2700
Madrid,KYMCO,Super Dink 125 ABS,Scooters +125cc,124,GRIS,30830,2012,1999
Madrid,YAMAHA,MT-07,Naked,689,blanco,18000,2015,5100
Barcelona,HONDA,CBF 500,Naked,499,negro,54000,2005,2690
Barcelona,YAMAHA,Versity 300,Scooters +125cc,264,negro,,2004,2390
Madrid,YAMAHA,MT-07,Naked,689,GRIS MATE,5500,2016,5199
Barcelona,HONDA,SCOOPY 50,Scooters 50cc,49,negro,19000,2000,1190
Barcelona,YAMAHA,X MAX 125,Scooter 125cc,125,NEGRO,18736,2012,2799
Navarra,SYM,XS 125,Custom,125,NEGRA,400,2010,990
Navarra,KAWASAKI,Z 1000 SX,Turismo,1043,,33700,2011,7800
Barcelona,SUZUKI,VanVan 125,Naked,125,Cobre,39774,2011,2899
Valencia,BMW,R 1200 R,Turismo,1170,ROJO,1,2016,15900
Valencia,BMW,F 800 R,Naked,800,NEGRO,,2017,7690
Valencia,BMW,F 800 R,Naked,800,NEGRO,350,2016,8500
Madrid,KYMCO,Super Dink 125i,Scooter 125cc,125,TITANIO,23000,2015,2299
Valencia,BMW,C 650,Scooters +125cc,647,BLANCO,1000,2017,10000
Valencia,BMW,C 650 GT,Scooters +125cc,647,,5872,2015,8500
Barcelona,SYM,Symphony 125 SR,Scooter 125cc,125,"blanco, negro, rojo, gris",,2017,2299
Madrid,KYMCO,Super Dink 125i,Scooter 125cc,125,TITANO,33000,2010,1799
Barcelona,SYM,Symphony 125 DD,Scooter 125cc,125,"gris, negro, blanco, rojo",,2017,2249
Madrid,KYMCO,Super Dink 125i,Scooter 125cc,125,GRAFITO,29000,2009,1799
Navarra,KYMCO,Venox 250i,Custom,249,GRIS PLATA,9000,2007,1990
Valencia,INDIAN,Chief,Custom,1811,NEGRO MATE,,2016,19900
Jaen,KAWASAKI,J 300 SE ABS,Scooters +125cc,300,negro,2900,2016,3850
Madrid,YAMAHA,X MAX 250,Scooters +125cc,250,Azul oscuo,9300,2011,3000
Alicante,BMW,F 800 R,Naked,800,blanco,55000,2011,4950
Madrid,SUZUKI,GS 500,Naked,487,Negro,65000,2004,1650
Leon,DUCATI,Hyperstrada,Supermotard,821,blanco,12750,2013,6800
Salamanca,BMW,R 1200 RT,Turismo,1170,NEGRO CARBÓN MET.,3800,2016,20650
Granada,BMW,K 1600 GT,Turismo,1649,,19100,2014,18600
Alava,INDIAN,Scout,Custom,999,negro,1500,2016,11000
Navarra,SUZUKI,BURGMAN 400,Scooters +125cc,399,AZUL,49000,2005,2250
Barcelona,YAMAHA,MT-07,Naked,689,Gris,26000,2015,4990
Barcelona,HARLEY DAVIDSON,Sportster 883,Custom,883,Negro Mate,21000,2009,7890
Barcelona,BMW,R 1200 GS,Trail,1170,Gris,51000,2011,11490
Granada,YAMAHA,T-Max 530 ABS,Scooters +125cc,530,,5200,2012,9400
Barcelona,SUZUKI,BURGMAN 200,Scooters +125cc,200,Negro,15000,2013,2490
Navarra,KAWASAKI,VN 900 CLASSIC,Custom,903,NEGRO,26000,2007,4200
Guipuzcoa,YAMAHA,XV 1600 Wild Star,Custom,1600,,44600,2004,6500
Barcelona,HONDA,NC 750 S,Naked,745,Blanco,14000,2015,5290
Valencia,HONDA,VT 750 C2 Shadow,Custom,750,Vitono negra naranja,43669,2006,4500
Asturias,SUZUKI,BURGMAN 125,Scooter 125cc,125,BLANCO,8071,2014,2800
Madrid,HONDA,SCOOPY SH125i,Scooter 125cc,125,,41000,2006,1599
Baleares,HONDA,VT 750 DC Shadow Spirit,Custom,745,,79000,2008,4000
Barcelona,BMW,R 850 R,Naked,848,Gris,46000,2006,4700
Valladolid,SUZUKI,Intruder C800C,Custom,805,Negro,27000,2009,4450
Barcelona,HONDA,SCOOPY SH150i,Scooters +125cc,152,,27000,2006,850
Castellon,SUZUKI,GSX R600,Sport,599,,35900,2007,3200
Barcelona,HONDA,CBR 1000RR,Sport,998,roja negra,5672,2006,6900
Barcelona,BMW,R 1200 GS,Trail,1170,Blanco Alpino,21200,2014,13500
Cordoba,BMW,F 800 S,Naked,798,Roja,40343,2006,3650
Valencia,KTM,SX 65,Infantil,65,,,2016,4050
Barcelona,TRIUMPH,Scrambler,Naked,865,,1,2016,9390
Barcelona,BMW,F 650 GS,Trail,798,GRANATE,64000,2006,2900
Madrid,INDIAN,Scout,Custom,1133,SILVER SMOKE,700,2016,12800
Barcelona,YAMAHA,FZ6 N S2,Naked,600,NEGRO,32340,2008,3599
Madrid,SUZUKI,RF 600,Sport,600,Rojo,46603,1991,900
Barcelona,KAWASAKI,ZX 10R,Sport,998,lima,2752,2015,13999
Barcelona,DUCATI,MONSTER 696+,Naked,696,Rojo,47000,2007,4500
Madrid,KAWASAKI,ZX 10R,Sport,998,VERDE,52000,2006,4200
Tarragona,HONDA,NT 700 V DEAUVILLE,Turismo,680,,76232,2009,4000
Albacete,VESPINO,ALX 50,Ciclomotor,50,negro,3000,1988,380
Sevilla,YAMAHA,XV 535,Custom,535,azul metalizado,34000,1991,2000
Barcelona,HONDA,CBF 600 SA,Naked,600,Gris,53000,2006,2490
Madrid,YAMAHA,T-Max 500,Scooters +125cc,499,Azul,23000,2008,5000
Sevilla,SUZUKI,SV 650,Naked,645,Gris,49000,2006,2650
Madrid,KYMCO,Agility CITY 125,Scooter 125cc,125,Negro,13500,2009,1190
Tarragona,SUZUKI,VZ 800 Marauder,Custom,805,azul,31000,2001,3500
Valencia,HYOSUNG,GT 125R COMET,Sport,125,"blanco, negro y blanco/rojo",,2014,2999
Madrid,RIYA,Rome 50,Scooter 125cc,125,Negro,699,2015,699
Madrid,BETA,EVO 290 2T,Trial,289,,1000,2009,2390
Madrid,YAMAHA,Majesty 125,Scooter 125cc,125,Azul,17600,2006,1150
Madrid,HONDA,CBR 125R,Sport,125,,19000,2013,2390
Malaga,KEEWAY,Silverblade 250 EFI,Scooters +125cc,250,,35434,2012,1799
Madrid,SHERCO,250,Trial,250,,3000,2015,5150
Madrid,YAMAHA,FZ6 N,Naked,600,Gris,65190,2010,3799
Madrid,YAMAHA,X-MAX 250,Scooters +125cc,249,,26055,2005,2399
Madrid,PIAGGIO,X7 EVO 300 ie,Scooters +125cc,278,,25720,2010,2599
Madrid,KYMCO,Xciting 250,Scooters +125cc,249,,28523,2005,1899
Madrid,HONDA,CBR 600F,Sport,599,,56432,2000,2399
Madrid,APRILIA,RS 250,Sport,249,,1,2000,7499
Las Palmas,BMW,S 1000 R,Sport,999,Black,8000,2016,14500
Huesca,DERBI,Senda 50 R,Ciclomotor,50,Azul,12000,2004,450
Barcelona,SUZUKI,RM Z450,Cross,449,,,2015,4000
Salamanca,SUZUKI,BURGMAN 650 Executive,Scooters +125cc,638,negro,6650,2015,5500
Vizcaya,YAMAHA,MT-07,Naked,689,blanco,7500,2015,5500
Almeria,KYMCO,Agility 125,Scooter 125cc,125,,6500,2010,1200
Burgos,KYMCO,Xciting 250,Scooters +125cc,249,Antracita,8000,2005,1500
Valencia,DAELIM,Roadwin 125 FI,Naked,124,Blanco,2500,2017,1800
Valencia,TRIUMPH,Thruxton,Naked,1200,BLANCO,1600,2016,11500
Madrid,KYMCO,Grand Dink 125,Scooter 125cc,125,Blanco,19300,2009,1200
Barcelona,HONDA,CBF 250,Naked,249,azul,34479,2006,900
Madrid,KYMCO,Agility CITY 125,Scooter 125cc,125,,33000,2009,1100
Madrid,YAMAHA,T-Max 530 ABS,Scooters +125cc,530,Gris,9900,2014,8550
Jaen,DERBI,DRD Racing Edicion Limitada,Ciclomotor,49,,7000,2010,1200
Madrid,YAMAHA,SR 250,Custom,250,,88000,1995,800
Barcelona,HONDA,SW T400 ABS,Scooters +125cc,399,Blanca,44000,2011,4000
Barcelona,HONDA,CBF 250,Naked,249,Azul,95000,2007,700
Madrid,PEUGEOT,Metropolis 400,Scooters +125cc,399,negro,19000,2014,4999
Madrid,SUZUKI,V-Strom 650 ABS,Trail,645,negro,31000,2012,6200
Barcelona,HONDA,SCOOPY SH125i,Scooter 125cc,125,Blanco perlado,36000,2012,2200
Malaga,PIAGGIO,x9  evolution piaggio,Scooter 125cc,,gris plata,16500,2004,1300
Valencia,YAMAHA,T-Max 530 ABS,Scooters +125cc,530,,18000,2012,8000
