city;brand;model;type;cc;color;km;year;price;url
Barcelona;HYOSUNG;GV 650 AQUILA;Custom;649;negro;35000;2006;1990;http://motos.net/ocasion/hyosung/gv_650_aquila/2006-en-barcelona-6466301.htm
Barcelona;HONDA;SCOOPY 100;Scooter 125cc;101;VERDE;18000;2000;1199;http://motos.net/ocasion/honda/scoopy_100/2000-en-barcelona-6457018.htm
Barcelona;HONDA;PCX 125;Scooter 125cc;125;BLANCO PERLADO;21000;2016;2290;http://motos.net/ocasion/honda/pcx_125/2016-en-barcelona-6457027.htm
Barcelona;DAELIM;Roadwin 125 FI;Naked;124;NEGRO;1;2011;1490;http://motos.net/ocasion/daelim/roadwin_125_fi/2011-en-barcelona-6456990.htm
Barcelona;PIAGGIO;LIBERTY 50 2T;Scooters 50cc;49;AZUL;21000;2007;850;http://motos.net/ocasion/piaggio/liberty_50_2t/2007-en-barcelona-6466295.htm
Pontevedra;SHERCO;SE 4.5i F;Enduro;449;azul;13458;2007;2350;http://motos.net/ocasion/sherco/se_45i_f/2007-en-pontevedra-6466171.htm
Madrid;SUZUKI;BURGMAN 400;Scooters +125cc;400;Negro;23000;2011;3400;http://motos.net/ocasion/suzuki/burgman_400/2011-en-madrid-6466225.htm
Valencia;MASH;Seventy Five;Naked;124;Negra;2100;2014;1850;http://motos.net/ocasion/mash/seventy_five/2014-en-valencia-6466190.htm
Granada;BMW;G 650 GS;Trail;652;blanca y roja;31804;2013;5500;http://motos.net/ocasion/bmw/g_650_gs/2013-en-granada-6466188.htm
Madrid;RIEJU;TANGO 125 Pro;Enduro;125;negro;3700;2009;1600;http://motos.net/ocasion/rieju/tango_125_pro/2009-en-madrid-6466178.htm
Vizcaya;YAMAHA;YZF R 125;Sport;124;GRIS;29000;2013;2650;http://motos.net/ocasion/yamaha/yzf_r_125/2013-en-vizcaya-6344962.htm
Vizcaya;YAMAHA;X enter 125;Scooter 125cc;125;blanco;5000;2015;2100;http://motos.net/ocasion/yamaha/x_enter_125/2015-en-vizcaya-6429088.htm
Vizcaya;YAMAHA;FZ6 S S2 ABS;Turismo;600;negro;40000;2007;3550;http://motos.net/ocasion/yamaha/fz6_s_s2_abs/2007-en-vizcaya-6310328.htm
Vizcaya;TRIUMPH;STREET TRIPLE;Naked;675;blanco;47000;2007;3795;http://motos.net/ocasion/triumph/street_triple/2007-en-vizcaya-6414522.htm
Badajoz;BENELLI;BN 302;Naked;300;Blanco;;2016;3690;http://motos.net/ocasion/benelli/bn_302/2016-en-badajoz-6450308.htm
Vizcaya;SYM;Maxsym 600i;Scooters +125cc;565;GRIS;16000;2014;4800;http://motos.net/ocasion/sym/maxsym_600i/abs-2014-en-vizcaya-6364329.htm
Vizcaya;SYM;JOYMAX 300i;Scooters +125cc;278;;5000;2015;3100;http://motos.net/ocasion/sym/joymax_300i/2015-en-vizcaya-6228002.htm
Vizcaya;SUZUKI;GSR 750;Naked;749;rojo;45000;2011;4650;http://motos.net/ocasion/suzuki/gsr_750/2011-en-vizcaya-6397769.htm
Vizcaya;SUZUKI;BURGMAN 250;Scooters +125cc;250;gris;59000;2004;1050;http://motos.net/ocasion/suzuki/burgman_250/2004-en-vizcaya-6067594.htm
Madrid;SUZUKI;GSX R750;Sport;749;;39427;2006;5299;http://motos.net/ocasion/suzuki/gsx_r750/2006-en-madrid-6466267.htm
Vizcaya;SUZUKI;BURGMAN 200;Scooters +125cc;200;gris;8600;2007;2100;http://motos.net/ocasion/suzuki/burgman_200/2007-en-vizcaya-6407461.htm
Toledo;TRIUMPH;TROPHY 1200;Turismo;1215;GRIS;9000;2016;12500;http://motos.net/ocasion/triumph/trophy_1200/2016-en-toledo-6466263.htm
Madrid;HONDA;CBR 600 RR;Sport;599;;12640;2004;4199;http://motos.net/ocasion/honda/cbr_600_rr/2004-en-madrid-6466261.htm
Vizcaya;KAWASAKI;ZX 6R 636;Sport;636;negro;41000;2006;3450;http://motos.net/ocasion/kawasaki/zx_6r_636/2006-en-vizcaya-6310331.htm
Madrid;HONDA;CBR 600F;Sport;599;;56432;2000;2399;http://motos.net/ocasion/honda/cbr_600f/2000-en-madrid-6466257.htm
Vizcaya;HONDA;VF 500 F;Sport;497;;20000;1986;1700;http://motos.net/ocasion/honda/vf_500_f/1986-en-vizcaya-6256608.htm
Vizcaya;HARLEY DAVIDSON;Street Glide;Custom;1690;negro;16600;2016;24900;http://motos.net/ocasion/harley_davidson/street_glide/special-2016-en-vizcaya-6443681.htm
Toledo;YAMAHA;XVS 1300 A Midnight Star;Custom;1304;GRIS;13000;2009;6500;http://motos.net/ocasion/yamaha/xvs_1300_a_midnight_star/2009-en-toledo-6466249.htm
Madrid;BMW;R 1200 GS Adventure;Trail;1170;ROJO RACING;3966;2016;20500;http://motos.net/ocasion/bmw/r_1200_gs_adventure/2016-en-madrid-6466005.htm
Valencia;PIAGGIO;X EVO 125;Scooter 125cc;124;gris;24781;2014;1900;http://motos.net/ocasion/piaggio/x_evo_125/2014-en-valencia-6466233.htm
Barcelona;KYMCO;Xciting 400i;Scooters +125cc;399;Negro;22000;2014;3700;http://motos.net/ocasion/kymco/xciting_400i/2014-en-barcelona-6466172.htm
Malaga;KAWASAKI;ER 6N;Naked;649;BLANCO Y NEGRO;5168;2016;5000;http://motos.net/ocasion/kawasaki/er_6n/2016-en-malaga-6466247.htm
Barcelona;BMW;G 650 GS;Trail;652;negro;2500;2015;6300;http://motos.net/ocasion/bmw/g_650_gs/2015-en-barcelona-6466130.htm
Valladolid;YAMAHA;SR 250 Special;Custom;249;granate;27000;2002;799;http://motos.net/ocasion/yamaha/sr_250_special/2002-en-valladolid-6466241.htm
Valladolid;GILERA;Runner PURE JET;Scooters 50cc;49;gris;14600;2003;950;http://motos.net/ocasion/gilera/runner_pure_jet/2003-en-valladolid-6466240.htm
Tarragona;YAMAHA;RD 80;Sport;80;azul;15000;1986;350;http://motos.net/ocasion/yamaha/rd_80/1986-en-tarragona-6466235.htm
Madrid;KEEWAY;RKV 125;Naked;124;Blanco;2400;2014;1450;http://motos.net/ocasion/keeway/rkv_125/2014-en-madrid-6466231.htm
Madrid;KAWASAKI;Z 750;Naked;748;;48500;2010;4000;http://motos.net/ocasion/kawasaki/z_750/2010-en-madrid-6466224.htm
Alicante;VESPA;P 200 E;Scooter 125cc;150;rojo;60000;1982;1000;http://motos.net/ocasion/vespa/p_200_e/1982-en-alicante-6466223.htm
Murcia;HONDA;CB 500 X;Trail;471;Negro mate;1400;2017;5500;http://motos.net/ocasion/honda/cb_500_x/2017-en-murcia-6466202.htm
Lugo;RIEJU;RS2 125;Sport;125;blanco y negro;12000;2008;1200;http://motos.net/ocasion/rieju/rs2_125/2008-en-lugo-6466200.htm
Vizcaya;HONDA;Shadow 750 RS;Custom;745;blanco y verde;37000;1998;3500;http://motos.net/ocasion/honda/shadow_750_rs/1998-en-vizcaya-6466198.htm
Ciudad Real;HUSQVARNA;701 Supermoto;Supermotard;690;Blanca y Azul;7700;2016;7500;http://motos.net/ocasion/husqvarna/701_supermoto/2016-en-ciudad_real-6466186.htm
Barcelona;SUZUKI;TU 250 X;Turismo;249;;1700;1997;2500;http://motos.net/ocasion/suzuki/tu_250_x/1997-en-barcelona-6466180.htm
Sevilla;SUZUKI;V-Strom 650;Trail;645;;31250;2004;3100;http://motos.net/ocasion/suzuki/v__strom_650/2004-en-sevilla-6466177.htm
