brand;brand_score
yamaha;646
honda;635
suzuki;580
ducati;473
harley davidson;434
kawasaki;378
bmw;356
ktm;332
aprilia;205
vespa;144
derbi;120
triumph;120
bultaco;94
gas-gas;72
gas gas;72
hyosung;58
sym;46
gilera;42
motor-hispania;40
husqvarna;40
hammel;37
kymco;37
mv-agusta;36
moto guzzi;33
buell;30
rieju;26
beta;24
benelli;21
daelim;20
keeway;20
sherco;20
jincheng;20
dh-haotian;20
alfer;19
bimota;19
adly-moto;19
adly;19
bombardier;18
piaggio;16
polini;15
linhai;10
meko;10
azel;10
muz;10
mbk;10
kenrod;10
macbor;10
sumco;10
clipic;10
aiyumo;10
generic;10
i-moto;10
huatian;10
goes;10
blata;8
malaguti;8
voxan;8
vor;8
victory;8
tgb;8
scorpa;8
sachs;8
moto tm;8
cagiva;8
csr;8
leonart;8
italjet;8
polaris;8
cpi;8
husaberg;8
emc-puch;8
peugeot;3
